mahalle,brut_alan_m2,net_alan_m2,oda_sayisi,bina_kat_sayisi,dairenin_bulundugu_kat,bina_yas,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,sahibi,aidat,depozito,fiyat
3,90.0,80.0,2,4.0,17,5,4,1.0,0,0,1,1,0,0,100,15000,15000.0
46,145.0,135.0,4,5.0,0,0,5,1.0,1,1,2,0,1,0,1500,30000,29000.0
17,145.0,130.0,4,4.0,7,2,4,1.0,1,0,1,0,0,1,500,25000,24750.0
49,230.0,200.0,4,3.0,6,10,0,2.0,0,0,1,1,0,0,0,30000,30000.0
47,320.0,300.0,7,8.0,12,3,4,3.0,1,1,1,0,1,0,0,37500,37500.0
23,140.0,130.0,4,10.0,16,6,4,1.0,1,1,3,1,0,1,0,50000,25000.0
45,120.0,115.0,4,3.0,0,8,4,1.0,1,0,1,0,0,0,100,13000,13000.0
22,100.0,90.0,2,4.0,7,10,4,1.0,1,1,1,0,0,0,0,0,14000.0
29,155.0,145.0,4,9.0,10,2,5,1.0,1,1,1,0,1,0,0,25000,25000.0
39,85.0,80.0,2,4.0,8,5,4,1.0,1,0,3,0,0,0,0,22000,11500.0
27,130.0,120.0,4,8.0,0,6,4,1.0,1,1,1,1,1,0,0,44000,24000.0
9,40.0,35.0,0,4.0,8,8,10,1.0,0,0,3,1,0,0,0,0,15800.0
15,25.0,20.0,11,5.0,0,1,4,1.0,0,0,1,1,0,0,0,10000,11000.0
13,70.0,60.0,0,4.0,17,10,4,1.0,0,1,1,0,0,0,0,0,15000.0
30,100.0,95.0,2,4.0,8,5,4,1.0,1,0,3,0,0,0,0,0,12500.0
47,70.0,60.0,0,11.0,17,2,11,1.0,0,1,1,0,1,0,1200,13000,13000.0
17,75.0,70.0,0,2.0,19,5,4,1.0,1,0,1,1,1,0,0,15000,15000.0
47,245.0,225.0,6,4.0,8,10,5,3.0,1,1,0,0,1,0,2000,60000,55000.0
17,65.0,60.0,0,2.0,19,10,6,1.0,1,0,1,1,0,0,0,30000,17000.0
17,170.0,160.0,4,2.0,6,10,4,2.0,1,0,1,1,0,0,0,0,29000.0
47,60.0,55.0,0,4.0,17,2,4,1.0,1,1,1,0,0,0,0,18000,18000.0
11,120.0,110.0,4,3.0,17,5,11,1.0,1,0,1,0,0,0,50,20000,13500.0
12,200.0,190.0,4,11.0,0,3,4,1.0,1,1,1,0,0,0,0,40000,40000.0
17,210.0,180.0,6,3.0,6,10,4,2.0,1,0,1,1,0,0,50,50000,40000.0
49,165.0,150.0,4,4.0,7,5,5,2.0,1,1,1,1,0,0,0,50000,25000.0
43,105.0,95.0,2,5.0,8,2,4,2.0,1,1,1,0,0,0,100,16000,16000.0
17,160.0,150.0,4,4.0,17,2,4,1.0,1,0,1,0,1,0,0,80000,45000.0
47,120.0,110.0,2,10.0,11,10,5,2.0,1,1,0,0,1,1,2910,50000,55000.0
17,90.0,80.0,2,3.0,6,3,4,1.0,1,1,1,1,0,0,100,15000,15000.0
29,150.0,140.0,4,8.0,0,3,4,1.0,1,1,1,0,0,0,0,16500,16500.0
9,150.0,140.0,4,7.0,8,8,4,1.0,1,1,3,0,1,0,500,25000,25000.0
37,135.0,125.0,4,5.0,0,5,4,1.0,1,0,1,1,0,0,0,0,15000.0
12,50.0,45.0,0,15.0,7,3,4,1.0,0,1,1,1,0,0,750,19000,19000.0
20,100.0,90.0,2,3.0,7,3,11,1.0,1,0,1,0,0,1,100,15000,15000.0
7,100.0,85.0,2,5.0,0,10,5,1.0,1,1,1,1,0,1,300,30000,20000.0
12,210.0,190.0,4,13.0,2,5,5,1.0,1,1,0,0,1,0,70000,0,70000.0
3,145.0,130.0,4,4.0,6,5,4,1.0,1,0,1,1,0,0,70,20000,18000.0
19,135.0,125.0,4,7.0,10,5,11,2.0,1,1,3,0,0,0,0,27000,24000.0
43,120.0,110.0,2,4.0,7,9,5,2.0,1,1,1,1,0,0,0,23000,23000.0
14,145.0,120.0,4,7.0,9,6,4,1.0,1,1,3,1,0,0,165,50000,26000.0
49,170.0,160.0,2,6.0,19,3,4,2.0,1,1,3,1,0,0,0,0,30000.0
46,85.0,70.0,2,5.0,0,2,4,1.0,0,1,3,0,0,0,300,16000,16000.0
17,90.0,85.0,2,2.0,0,10,4,2.0,1,0,1,1,1,0,1200,30000,30000.0
43,100.0,90.0,2,7.0,8,6,4,1.0,1,1,3,0,0,0,250,25000,21000.0
17,55.0,50.0,0,2.0,6,7,4,1.0,0,1,2,1,1,0,1000,35000,21000.0
9,60.0,50.0,0,7.0,0,8,4,1.0,0,1,3,1,0,0,250,0,15000.0
22,130.0,120.0,4,4.0,6,10,4,1.0,1,1,1,0,0,0,0,18500,18500.0
17,55.0,50.0,0,2.0,19,10,4,1.0,1,0,1,1,0,0,200,25000,13500.0
12,70.0,60.0,0,2.0,14,10,4,1.0,0,0,3,1,0,0,0,21000,21000.0
40,195.0,185.0,4,10.0,1,2,5,2.0,1,1,1,1,1,0,0,95000,95000.0
3,100.0,95.0,2,4.0,0,9,5,1.0,1,1,1,1,0,1,0,0,24500.0
12,185.0,175.0,4,10.0,13,6,5,1.0,1,1,1,0,0,0,300,48000,48000.0
17,95.0,90.0,2,2.0,6,4,4,1.0,1,0,2,0,1,0,1000,50000,35000.0
31,105.0,90.0,2,4.0,7,0,5,1.0,1,1,1,0,0,0,350,44000,22000.0
40,75.0,60.0,0,4.0,19,2,4,1.0,1,0,1,1,1,0,200,25000,15000.0
33,110.0,100.0,2,4.0,7,9,4,2.0,1,0,3,1,0,0,0,30000,20000.0
47,160.0,130.0,4,6.0,7,5,4,2.0,1,1,1,0,0,0,0,0,20000.0
12,230.0,220.0,4,8.0,6,5,5,1.0,1,1,1,0,0,0,300,0,27000.0
11,110.0,100.0,2,3.0,7,3,4,1.0,1,0,1,1,0,0,150,15000,15000.0
6,100.0,85.0,2,4.0,0,8,4,1.0,1,0,3,0,0,0,0,15000,15000.0
6,152.0,140.0,4,7.0,10,6,5,1.0,1,1,3,0,0,0,0,0,25000.0
22,100.0,90.0,2,4.0,7,10,9,1.0,1,1,3,0,0,0,0,0,13000.0
14,105.0,95.0,2,6.0,6,10,5,2.0,1,1,1,0,0,0,1500,35000,42500.0
46,100.0,90.0,2,5.0,14,10,4,1.0,1,0,1,0,0,1,150,21500,21500.0
11,145.0,140.0,4,3.0,17,5,4,1.0,1,0,1,0,0,0,0,20000,13500.0
47,80.0,65.0,0,4.0,8,3,4,1.0,1,1,1,1,0,0,100,15000,15000.0
17,110.0,100.0,2,2.0,6,0,5,2.0,1,0,3,1,0,0,1000,25000,25000.0
17,105.0,90.0,2,2.0,18,5,4,1.0,1,0,1,1,0,0,0,20000,20000.0
17,65.0,60.0,0,6.0,19,2,5,1.0,1,1,1,1,1,0,1000,19000,19000.0
47,70.0,60.0,0,3.0,7,9,4,1.0,1,1,1,1,0,0,0,20000,20000.0
12,210.0,190.0,4,13.0,2,5,5,1.0,1,1,0,1,1,0,0,160000,80000.0
29,110.0,90.0,2,4.0,0,9,4,1.0,1,1,1,1,0,0,0,25000,25000.0
47,45.0,40.0,0,4.0,19,10,4,1.0,1,1,1,0,0,0,400,20000,15000.0
12,180.0,160.0,4,14.0,4,3,4,2.0,1,1,1,0,0,0,700,30000,28000.0
17,80.0,70.0,2,2.0,19,3,11,1.0,1,0,1,0,1,0,50,13000,13000.0
0,130.0,94.0,4,7.0,11,8,4,1.0,1,1,1,0,0,0,150,14000,14000.0
49,200.0,180.0,6,12.0,9,3,5,2.0,1,1,0,0,1,0,0,0,75000.0
30,135.0,125.0,2,4.0,7,5,4,1.0,1,0,1,0,0,0,0,14000,13000.0
17,85.0,75.0,0,2.0,14,3,5,1.0,1,0,1,1,1,0,1000,20000,15000.0
47,190.0,175.0,4,9.0,7,10,5,2.0,1,1,1,0,1,0,1000,70000,35000.0
15,90.0,75.0,2,3.0,6,10,11,1.0,1,1,1,0,0,0,0,16000,16000.0
49,210.0,190.0,8,13.0,3,3,11,2.0,1,1,1,0,0,0,900,0,30000.0
13,100.0,85.0,2,6.0,8,2,4,1.0,1,1,1,1,1,0,0,18500,18500.0
12,115.0,110.0,4,13.0,2,2,4,1.0,1,1,1,1,1,0,0,25000,25000.0
17,105.0,90.0,2,2.0,0,2,11,2.0,1,0,3,0,0,0,0,17000,17000.0
9,50.0,40.0,0,4.0,7,6,4,1.0,1,1,3,1,0,0,70,12500,12500.0
17,160.0,145.0,4,10.0,12,2,5,2.0,1,1,1,1,1,0,0,47000,47000.0
17,60.0,50.0,0,2.0,14,2,4,1.0,1,0,3,1,0,0,150,20000,14000.0
37,110.0,105.0,4,6.0,7,7,5,1.0,1,1,1,1,1,0,0,0,25000.0
47,200.0,160.0,6,6.0,10,3,4,2.0,1,1,1,1,1,0,0,0,30000.0
17,55.0,45.0,0,2.0,0,4,4,1.0,1,0,3,0,0,0,0,0,14000.0
17,55.0,50.0,0,2.0,19,10,4,1.0,1,0,1,1,0,0,0,18500,18000.0
8,85.0,80.0,2,4.0,19,10,4,1.0,1,1,1,0,0,1,0,13500,13500.0
1,250.0,200.0,4,8.0,11,3,4,2.0,1,1,1,0,0,0,0,0,50000.0
17,55.0,45.0,0,8.0,10,0,4,1.0,0,1,2,1,0,0,0,32500,31000.0
31,140.0,130.0,4,5.0,8,5,4,1.0,1,1,1,0,0,0,100,16000,16000.0
48,100.0,85.0,2,5.0,6,3,4,1.0,1,0,3,0,0,0,0,13000,13000.0
12,90.0,85.0,2,2.0,0,2,5,1.0,1,0,3,1,0,0,0,50000,26000.0
47,120.0,110.0,2,7.0,7,2,5,1.0,1,1,1,1,1,0,0,0,28000.0
12,90.0,80.0,2,3.0,14,3,4,1.0,1,0,3,1,0,0,0,0,22000.0
23,100.0,90.0,2,3.0,19,5,4,1.0,1,1,3,0,0,0,0,15000,13500.0
49,250.0,240.0,6,4.0,0,5,4,2.0,1,0,3,0,0,0,0,0,35000.0
22,100.0,95.0,2,5.0,6,10,4,1.0,1,1,1,0,0,1,0,13000,13000.0
12,95.0,85.0,2,3.0,7,9,4,1.0,1,0,1,1,0,1,500,35000,35000.0
17,55.0,45.0,0,3.0,0,2,4,1.0,1,0,1,1,1,0,250,13500,15000.0
26,130.0,125.0,4,4.0,17,2,4,1.0,1,1,1,0,0,1,0,15750,15750.0
49,180.0,165.0,4,4.0,7,3,11,1.0,1,1,1,0,0,0,300,0,25000.0
17,95.0,85.0,2,8.0,12,10,4,1.0,1,1,1,1,1,0,0,0,27000.0
27,160.0,150.0,4,8.0,8,6,5,1.0,1,1,1,1,0,0,800,50000,50000.0
20,70.0,60.0,0,4.0,19,10,4,1.0,1,0,1,0,0,0,0,0,12000.0
17,120.0,95.0,2,2.0,14,4,4,1.0,1,1,1,0,0,0,1500,30000,32000.0
19,60.0,55.0,0,4.0,15,6,4,1.0,0,0,1,0,0,0,0,12500,12500.0
17,120.0,110.0,2,2.0,6,10,4,2.0,1,0,3,1,0,0,200,25000,25000.0
17,70.0,65.0,0,3.0,14,2,4,1.0,1,0,1,1,1,0,0,15500,15000.0
49,175.0,165.0,4,4.0,7,5,5,1.0,1,1,1,0,0,0,250,21000,21000.0
25,135.0,125.0,2,4.0,0,5,4,1.0,1,0,1,0,0,0,0,24000,12000.0
17,200.0,190.0,7,2.0,6,3,4,2.0,1,0,1,0,1,0,350,22000,22000.0
26,85.0,80.0,2,5.0,7,10,8,2.0,1,1,0,0,1,0,2000,0,20000.0
30,75.0,65.0,0,5.0,7,2,4,1.0,0,1,1,0,0,0,0,12500,12500.0
12,280.0,250.0,6,10.0,10,5,4,3.0,1,1,0,0,0,0,3500,65000,65000.0
16,85.0,80.0,2,2.0,6,3,4,1.0,1,0,3,0,0,0,0,15000,15000.0
13,70.0,60.0,0,5.0,8,0,4,1.0,1,1,2,1,1,0,350,17000,17000.0
40,170.0,160.0,4,4.0,7,5,11,1.0,1,0,1,0,0,0,250,25000,26500.0
22,140.0,120.0,4,5.0,6,9,4,1.0,1,1,0,1,0,1,200,50000,20000.0
40,160.0,150.0,4,7.0,9,5,11,1.0,1,1,1,0,1,0,250,20000,20000.0
17,95.0,75.0,2,3.0,14,2,4,1.0,1,0,3,0,0,0,250,36000,18000.0
37,110.0,100.0,3,7.0,10,5,4,1.0,1,1,1,0,0,0,100,19000,18000.0
14,155.0,145.0,4,4.0,7,5,4,1.0,1,0,1,1,1,0,0,0,30000.0
17,65.0,55.0,0,2.0,0,4,5,1.0,1,0,1,1,0,0,700,20000,20000.0
15,60.0,50.0,0,5.0,15,0,4,1.0,0,1,1,1,0,0,0,0,13500.0
43,165.0,150.0,4,7.0,10,8,4,1.0,1,1,3,0,0,0,0,16000,16000.0
17,65.0,60.0,0,8.0,6,10,4,1.0,0,1,1,1,1,0,1000,15000,15000.0
49,160.0,150.0,2,1.0,19,2,4,2.0,1,1,1,1,0,0,200,0,30000.0
47,70.0,56.0,0,4.0,19,9,5,1.0,1,1,2,1,0,0,400,0,22000.0
4,155.0,140.0,4,5.0,8,5,4,1.0,1,0,1,0,0,0,100,12000,12000.0
45,160.0,150.0,4,4.0,6,5,11,1.0,1,0,3,0,0,0,0,16000,16000.0
48,95.0,90.0,2,8.0,8,10,11,1.0,1,1,3,0,0,1,0,18000,18000.0
47,400.0,350.0,8,9.0,13,3,5,3.0,1,1,0,0,0,0,2000,120000,100000.0
12,85.0,75.0,2,2.0,0,10,4,1.0,1,0,1,1,0,0,100,30000,26000.0
17,65.0,60.0,0,8.0,10,7,4,1.0,0,1,1,0,0,0,700,0,11000.0
24,115.0,110.0,2,3.0,19,10,4,1.0,1,1,1,1,0,0,150,12000,12000.0
40,180.0,165.0,4,10.0,10,3,5,1.0,1,1,1,1,1,0,0,115000,58000.0
17,60.0,55.0,0,3.0,14,2,4,1.0,1,0,3,1,0,1,100,30000,17000.0
12,80.0,75.0,2,2.0,19,10,4,1.0,1,0,3,1,0,0,100,15000,17500.0
49,235.0,200.0,6,4.0,8,3,5,2.0,1,1,1,0,0,0,300,100000,50000.0
18,120.0,110.0,4,3.0,0,5,11,1.0,1,0,1,0,1,0,300,16250,15250.0
17,85.0,70.0,2,1.0,0,9,4,1.0,1,0,1,1,1,0,1750,30000,30000.0
14,110.0,100.0,2,7.0,0,6,4,1.0,1,0,3,1,0,0,0,0,27000.0
6,50.0,40.0,0,5.0,17,1,4,1.0,0,1,1,1,0,0,0,20000,15000.0
11,140.0,130.0,4,4.0,14,2,4,1.0,1,0,1,0,0,0,0,0,13000.0
17,50.0,45.0,0,3.0,17,9,11,1.0,1,1,1,0,1,0,750,0,18000.0
17,70.0,65.0,0,3.0,17,3,4,1.0,1,0,1,1,1,0,10000,13000,15000.0
43,160.0,150.0,4,2.0,6,3,4,1.0,1,0,3,1,0,0,0,25000,19000.0
17,70.0,60.0,0,2.0,14,10,4,1.0,1,0,1,1,1,0,0,19500,19500.0
37,135.0,120.0,4,7.0,0,6,4,1.0,1,1,1,0,0,0,200,21000,21000.0
46,75.0,70.0,2,3.0,6,4,11,1.0,1,1,1,0,0,0,250,17000,17000.0
17,70.0,60.0,0,2.0,14,10,4,1.0,1,1,1,1,1,0,750,18000,18000.0
17,65.0,60.0,0,3.0,0,7,4,1.0,0,0,3,1,0,0,0,0,22800.0
40,140.0,135.0,4,12.0,7,3,4,2.0,1,1,1,1,1,0,850,0,32000.0
37,120.0,110.0,2,5.0,9,6,4,1.0,1,0,1,0,0,0,0,0,14000.0
17,110.0,100.0,2,3.0,0,8,4,1.0,1,0,3,1,1,0,0,25000,25000.0
15,145.0,135.0,4,7.0,0,3,4,1.0,1,1,1,0,0,0,350,17000,17000.0
17,60.0,40.0,0,3.0,6,9,4,1.0,1,1,1,1,0,0,400,40000,20000.0
25,130.0,120.0,2,4.0,7,3,12,1.0,1,0,3,1,0,0,30,12000,15000.0
29,140.0,130.0,4,10.0,14,3,4,1.0,1,1,1,0,1,0,2000,20000,21000.0
17,65.0,60.0,2,5.0,17,2,4,1.0,1,1,1,1,0,0,150,34000,17000.0
19,135.0,125.0,4,4.0,7,6,11,1.0,1,0,3,0,0,0,100,12500,12500.0
29,150.0,140.0,4,4.0,6,2,11,1.0,1,1,1,0,1,0,250,0,22000.0
47,160.0,140.0,4,10.0,8,2,5,1.0,1,1,1,1,1,0,400,60000,30000.0
16,90.0,75.0,2,2.0,0,2,5,1.0,1,0,3,0,0,0,200,20000,20000.0
49,168.0,160.0,4,4.0,6,5,5,1.0,1,0,1,0,0,0,50,25000,25000.0
49,110.0,100.0,2,4.0,6,3,11,1.0,1,1,1,0,0,0,0,0,20000.0
3,70.0,60.0,0,5.0,0,10,4,1.0,1,1,1,1,0,0,0,0,14500.0
17,170.0,155.0,4,6.0,9,3,4,1.0,1,1,1,1,0,0,800,30000,28500.0
40,150.0,140.0,4,11.0,7,3,4,2.0,1,1,1,1,0,0,0,25000,30000.0
0,130.0,110.0,2,8.0,0,5,4,1.0,1,1,1,0,0,1,200,18000,17000.0
19,60.0,55.0,0,4.0,15,6,4,1.0,0,0,1,0,0,0,0,12500,12000.0
29,150.0,140.0,4,8.0,0,3,4,1.0,1,1,1,0,0,1,0,16500,16500.0
12,165.0,155.0,4,8.0,11,3,4,1.0,1,1,1,1,1,0,300,25000,25000.0
22,107.0,90.0,2,4.0,6,10,4,1.0,1,1,1,0,0,0,0,12000,12000.0
39,100.0,85.0,2,4.0,8,2,5,1.0,1,0,1,1,0,0,0,0,18000.0
12,100.0,96.0,2,3.0,0,2,4,1.0,1,0,3,1,0,0,0,0,26000.0
12,80.0,60.0,2,2.0,14,10,5,1.0,1,0,3,0,1,0,0,50000,22500.0
23,60.0,50.0,0,3.0,0,3,4,1.0,1,0,3,1,0,0,100,18000,18000.0
27,140.0,130.0,4,13.0,2,5,4,2.0,1,1,3,0,1,0,400,26000,26000.0
34,125.0,110.0,4,5.0,9,5,4,1.0,1,0,1,0,0,0,0,15000,15000.0
47,150.0,135.0,4,10.0,13,3,4,1.0,1,1,1,1,1,0,320,20000,30000.0
47,55.0,50.0,0,4.0,14,2,4,1.0,1,1,1,0,1,0,1000,16000,16000.0
34,300.0,270.0,8,13.0,4,2,5,2.0,1,1,1,1,1,0,400,0,39000.0
17,160.0,155.0,4,8.0,8,10,4,1.0,1,1,1,0,1,1,1000,20000,20000.0
12,230.0,200.0,6,16.0,19,2,5,3.0,1,1,0,0,1,1,2500,180000,107000.0
40,145.0,135.0,4,8.0,9,2,5,1.0,1,1,1,1,1,0,1550,70000,35000.0
17,120.0,110.0,2,2.0,0,10,4,2.0,0,1,2,1,1,1,1800,80000,45000.0
17,95.0,85.0,2,6.0,7,9,4,2.0,1,1,2,1,1,0,1300,38000,37000.0
17,60.0,50.0,0,2.0,19,10,4,1.0,1,0,1,0,0,0,200,15000,13000.0
22,135.0,120.0,4,5.0,0,9,4,1.0,0,1,3,0,0,1,0,15000,15000.0
17,85.0,70.0,2,1.0,17,3,4,1.0,0,1,1,1,1,1,1000,34000,30000.0
